,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5,flux_radius_6,ivar_radius_6,Wavelength_radius_6
50,3.5415025,3.4041243,3394.393995422789,8.17169,2.6527112,3394.4738779580416,13.588754,2.2293913,3394.5065912811056,13.795348,2.0511081,3394.3798189503163,10.90114,1.9246657,3394.3260431602207,6.4753866,1.8525777,3394.426871235327
51,3.5913239,3.3382623,3395.175673514714,9.919334,2.5920115,3395.2555744457186,19.684769,2.184374,3395.2882953021704,22.60206,2.0342553,3395.161493777612,18.439316,1.9196444,3395.107705603758,12.283616,1.8465774,3395.208556898059
52,5.2613354,3.3329403,3395.9575316153914,11.98517,2.599822,3396.037450946383,18.185198,2.204921,3396.070179337958,17.00269,2.059363,3395.9433486129083,13.259523,1.9414127,3395.889548052443,11.995713,1.8551204,3395.9904225712867
53,4.3471975,3.3409915,3396.739569766281,10.638809,2.6130648,3396.8195075014974,18.480482,2.2172034,3396.852243429931,20.007019,2.0673661,3396.725383497665,17.34577,1.9521197,3396.6715705477363,12.63525,1.8781421,3396.772468296471
54,4.3437915,3.441926,3397.521788008839,10.967394,2.6632984,3397.6017441525187,19.311703,2.2459383,3397.6344876195462,21.603218,2.0788913,3397.507598473338,18.136776,1.9563476,3397.453773131093,11.798267,1.8931072,3397.554694115068
55,5.4696445,3.4362495,3398.304186384545,12.86516,2.6807942,3398.3841609409264,20.71164,2.2706056,3398.416911948284,20.221325,2.1157184,3398.289993581406,16.105606,1.9985209,3398.2361558439916,14.188858,1.9153588,3398.337100068557
56,5.7230663,3.4517972,3399.086764934874,13.288574,2.6961143,3399.1667579081977,20.748184,2.2804296,3399.1995164576215,20.413757,2.1151924,3399.0725688633447,18.288954,1.9950095,3399.0187187279057,19.798008,1.908419,3399.119686198414
57,3.4392433,3.534415,3399.869523701323,8.828082,2.7441726,3399.949535095831,15.770563,2.310837,3399.9823011890576,17.51516,2.1380951,3399.8553243606516,16.223759,2.0146487,3399.801461824333,16.175335,1.9240291,3399.9024525461373
58,2.193533,3.5658906,3400.6524627253884,5.8345633,2.7764678,3400.7324925453217,11.063343,2.3409457,3400.7652661840893,13.5552435,2.1593351,3400.6382601148216,14.501768,2.019572,3400.5843851747672,14.5920925,1.9270414,3400.685399153222
59,4.883713,3.495756,3401.4355820485866,11.387781,2.7352831,3401.5156302981886,17.78894,2.322015,3401.548411484234,16.908913,2.163159,3401.4213761673714,14.068331,2.0334005,3401.367488820725,11.897603,1.9437026,3401.4685260611864
